Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,0,rep4
m2,MARK_PIX,89.2,15.4,T,0,rep2
C12,C0603,24.9,1.9,T,90,100n-16V-X7R
C1,C0805,30.35,8.8,T,90,10u-16V-X7R
R18,R0603,19.3,12.3,T,270,100K-5%
R7,R0603,19.7,0.8,T,270,10K-5%
C16,C0805,9.17,13.3,T,0,10u-25V-X7R
C10,C0805,24.8,14.0,T,90,4.7u-16V-X7R
C27,C0805,48.5,7.7,T,90,22u-6.3V-X7R
C21,C0603,58.0,5.8,T,90,1.2n-16V-X7R
VD3,SOD-323,62.45,5.3,T,180,RB751V40T1G
C6,C0805,20.77,11.1,T,90,1u-16V-X7R
R4,R0603,23.7,0.7,T,270,10-5%
R3,R0603,20.0,2.6,T,0,0-5%
R12,R0603,11.9,5.6,T,90,68K-1%
R33,R0603,66.12,11.75,T,0,10K-1%
VT2,SOT-23,55.55,6.4,T,90,IRLML2402
DA4,DCK,17.2,12.3,T,90,LTC8725YC5
DA2,DSBGA-12_P0.4,21.9,1.1,T,90,INA231AIYFF
C33,C0603,46.9,3.7,T,90,5.1p-50V-NP0
C9,C0603,26.9,14.4,T,180,47n-25V-X7R
C42,C0603,66.15,13.0,T,180,47p-25V-NP0
R165,R0603,19.37,9.6,T,90,13K-5%
R14,R0603,59.2,5.8,T,270,2K-5%
R22,R0603,46.4,5.7,T,0,300K-1%
R10,R0603,14.4,8.4,T,90,160K-1%
R26,R0603,45.7,3.7,T,90,53.6K-1%
R11,R0603,13.2,8.4,T,270,18K-1%
R2,R0603,22.7,14.8,T,180,17.8K-1%
R1,R0603,22.7,13.2,T,0,4.22K-1%
