Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,270,rep1
m2,MARK_PIX,24.7,66.8,T,270,rep3
C16,C0402,5.32,48.15,T,90,100n-16V-X7R
R18,R0402,19.15,4.93,T,90,10K-5%
C22,C0402,15.18,16.78,T,180,100n-16V-X7R
R22,R0402,22.48,62.6,T,270,10K-5%
C27,C0402,10.85,16.65,T,0,100n-16V-X7R
R39,R0402,19.03,6.6,T,180,10K-5%
C28,C0402,8.33,15.43,T,270,100n-16V-X7R
R41,R0402,10.95,7.65,T,270,10K-5%
C29,C0402,8.0,7.68,T,90,100n-16V-X7R
R44,R0402,24.53,8.83,T,270,10K-5%
C30,C0402,13.93,2.8,T,0,100n-16V-X7R
R62,R0402,13.15,15.48,T,0,10K-5%
C32,C0402,24.03,5.95,T,90,100n-16V-X7R
R63,R0402,13.15,14.28,T,0,10K-5%
C33,C0402,20.85,5.23,T,0,100n-16V-X7R
R64,R0402,8.12,53.85,T,90,10K-5%
C34,C0402,9.68,10.18,T,90,100n-16V-X7R
R20,R0402,21.27,62.63,T,270,4.7K-5%
C35,C0402,8.28,10.1,T,90,100n-16V-X7R
R46,R0402,14.8,14.93,T,90,4.7K-5%
C36,C0402,9.53,2.9,T,180,100n-16V-X7R
R71,R0402,7.16,57.7,T,270,4.7K-5%
C37,C0402,20.38,2.95,T,0,100n-16V-X7R
R72,R0402,9.73,63.85,T,270,4.7K-5%
C38,C0402,24.03,14.4,T,270,100n-16V-X7R
R75,R0402,8.37,57.68,T,270,4.7K-5%
C42,C0402,19.05,59.1,T,0,100n-16V-X7R
R76,R0402,8.53,62.2,T,180,4.7K-5%
C43,C0402,16.95,56.13,T,180,100n-16V-X7R
R78,R0402,5.96,57.68,T,270,4.7K-5%
C44,C0402,19.05,60.43,T,0,100n-16V-X7R
R82,R0402,10.02,58.88,T,0,4.7K-5%
C45,C0402,19.33,56.08,T,0,100n-16V-X7R
R1,R0402,24.22,45.53,T,90,22-5%
C46,C0402,19.33,54.75,T,0,100n-16V-X7R
R2,R0402,21.8,45.53,T,270,22-5%
C47,C0402,17.63,53.38,T,180,100n-16V-X7R
R3,R0402,19.08,45.51,T,270,22-5%
C48,C0402,16.98,54.8,T,180,100n-16V-X7R
R4,R0402,17.87,45.51,T,270,22-5%
C50,C0402,11.75,53.75,T,270,100n-16V-X7R
R5,R0402,16.4,45.51,T,270,22-5%
C51,C0402,13.4,58.2,T,180,100n-16V-X7R
R6,R0402,20.6,45.53,T,270,22-5%
C52,C0402,13.33,55.52,T,180,100n-16V-X7R
R7,R0402,23.02,45.55,T,270,22-5%
C53,C0402,23.3,53.1,T,0,100n-16V-X7R
R8,R0402,25.43,45.51,T,270,22-5%
C54,C0402,15.97,49.93,T,270,100n-16V-X7R
R23,R0402,21.1,9.8,T,180,33-5%
C55,C0402,18.18,51.5,T,90,100n-16V-X7R
R28,R0402,24.68,62.9,T,180,33-5%
C56,C0402,13.3,50.75,T,270,100n-16V-X7R
R36,R0402,17.8,64.8,T,180,33-5%
C57,C0402,13.35,56.83,T,180,100n-16V-X7R
R48,R0402,9.9,54.38,T,0,33-5%
C58,C0402,23.03,57.05,T,90,100n-16V-X7R
R51,R0402,9.9,53.15,T,0,33-5%
C59,C0402,17.48,49.25,T,270,100n-16V-X7R
R24,R0402,15.68,62.6,T,0,0-5%
C60,C0402,21.28,49.93,T,270,100n-16V-X7R
R25,R0402,15.68,63.83,T,180,0-5%
C61,C0402,22.68,55.13,T,0,100n-16V-X7R
R42,R0402,13.55,63.23,T,180,0-5%
C62,C0402,16.84,60.05,T,0,100n-16V-X7R
C72,C0402,8.1,64.03,T,90,1u-10V-X7R
C63,C0402,24.38,61.2,T,90,100n-16V-X7R
C64,C0402,13.5,61.88,T,0,100n-16V-X7R
C65,C0402,19.65,49.9,T,270,100n-16V-X7R
C70,C0402,6.38,61.82,T,180,100n-16V-X7R
